"Name","Type","Unlock Prerequisite","Research Scrolls","Antique Tokens","Tier","Value","Crafting Time (seconds)","Crafting Time (formatted)","Value / Crafting Time","Merchant XP","Merchant XP / Crafting Time","Worker XP","Fusion XP","Favor","Airship Power","","Required Worker ","Worker Level","Required Worker","Worker Level","Required Worker","Worker Level","","","","","","","","","","","","","","","Component","Component Quality","Amount Needed","Component","Component Quality","Amount Needed","","ATK","DEF","HP","EVA","CRIT","Mana Shield","","Elemental Affinity","Spirit Affinity","Built-In Element","Built-In Spirit","","Crafting Upgrade 1","Crafts Needed","Crafting Upgrade 2","Crafts Needed","Crafting Upgrade 3","Crafts Needed","Crafting Upgrade 4","Crafts Needed","Crafting Upgrade 5","Crafts Needed","","Starforged Milestone 1","Crafts Needed","Starforged Milestone 2","Crafts Needed","Starforged Milestone 3","Crafts Needed","Starforged Milestone 4","Crafts Needed","Starforged Milestone 5","Crafts Needed","","Ascension Upgrade 1","Shards Needed","Ascension Upgrade 2","Shards Needed","Ascension Upgrade 3","Shards Needed","Transcendence Upgrade 1","Seals Needed","Transcendence Upgrade 2","Seals Needed","Transcendence Upgrade 3","Seals Needed","","Discount Energy","Surcharge Energy","Suggest Energy","Speed Up Energy","","Is Antique starting on (UTC)",""
"Squire Sword","Sword","Blacksmith","---","","1","50","15","00:00:15","3.33","135","9.00","2","10","1","13","","Blacksmith","1","---","","---","","","5","---","---","---","","---","---","---","---","---","---","---","","---","---","","---","---","","","16","---","---","---","---","---","","---","---","---","---","","Blueprint: Shiv","7","Blueprint: Arming Sword","18","x1.5 Value Increase","32","Quality Chance x2","50","Quality Chance x3","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-4 Iron Spent","5","+30% Multicraft Chance","5","Quality Chance x3","5","ATK +2","5","DEF +1","5","+10% Base ATK, DEF and HP","5","","5","15","5","15","","",""
"Arming Sword","Sword","---","1","","2","180","60","00:01:00","3.00","455","7.58","7","35","10","26","","Blacksmith","2","---","","---","","","9","---","---","---","","---","---","---","---","---","---","---","","---","---","","---","---","","","32","---","---","---","---","---","","---","---","---","---","","Blueprint: Wood Axe","8","Blueprint: Gladius","20","x1.5 Value Increase","36","Quality Chance x2","55","Quality Chance x3","85","","+20% Surcharge Value","10","-10% Surcharge Cost","30","x1.25 Value Increase","50","+10% Multicraft Chance","75","Quality Chance x2","120","","-5 Iron Spent","5","+20% Multicraft Chance","5","Quality Chance x3","5","ATK +3","5","DEF +3","5","+10% Base ATK, DEF and HP","5","","10","25","5","40","","",""
"Gladius","Sword","---","3","","3","670","140","00:02:20","4.79","1,200","8.57","18","90","16","42","","Blacksmith","2","---","","---","","","14","---","---","---","","---","---","---","---","---","---","---","","Iron Pine Cone","---","2","---","---","","","52","---","---","---","---","---","","---","---","---","---","","x1.25 Value Increase","8","Blueprint: Cutlass","20","-25% Craft Time Reduction","36","-3 Iron Spent","55","Quality Chance x3","85","","+20% Surcharge Value","10","-10% Surcharge Cost","30","x1.25 Value Increase","50","+10% Multicraft Chance","75","Quality Chance x2","120","","-1 Iron Pine Cone Spent","10","+10% Multicraft Chance","10","Quality Chance x3","10","ATK +5","10","DEF +4","10","+10% Base ATK, DEF and HP","10","","20","45","10","70","","",""
"Arboreal Blade","Sword","Frozen Chest","---","","3","2,050","200","00:03:20","10.25","1,700","8.50","26","130","21","70","","Blacksmith","3","---","","---","","","16","4","---","---","","---","---","---","---","---","---","---","","Elven Wood","---","2","---","---","","","88","---","---","---","---","---","","---","---","Nature Element","---","","x1.25 Value Increase","5","-3 Iron Spent","14","-25% Craft Time Reduction","24","Quality Chance x2","40","Quality Chance x3","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","Quality Chance x2","85","","-4 Wood Spent","10","+10% Multicraft Chance","10","-1 Elven Wood Spent","10","ATK +6","10","DEF +5","10","+10% Base ATK, DEF and HP","10","","25","55","10","90","","",""
"Zweihander","Sword","Oktoberfest Pack","---","75","3","1,250","270","00:04:30","4.63","2,350","8.70","35","175","23","84","","Blacksmith","3","---","","---","","","17","---","---","---","","---","---","---","---","---","---","---","","---","---","","---","---","","","76","19","---","---","---","---","","---","---","---","---","","x1.25 Value Increase","5","-3 Iron Spent","14","-25% Craft Time Reduction","24","-2 Iron Spent","40","Quality Chance x3","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","Quality Chance x2","85","","-9 Iron Spent","10","+10% Multicraft Chance","10","Quality Chance x3","10","ATK +8","10","DEF +6","10","+10% Base ATK, DEF and HP","10","","25","60","10","110","","April 8, 2020",""
"Cutlass","Sword","---","6","","4","2,050","360","00:06:00","5.69","3,100","8.61","47","235","27","70","","Blacksmith","5","---","","---","","","21","---","---","---","","---","---","---","---","---","---","---","","Squire Sword","Normal","1","Silver Dust","---","2","","88","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","5","-4 Iron Spent","14","Blueprint: Espada","24","x1.25 Value Increase","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","Quality Chance x2","85","","-25% Craft Time Reduction","15","+10% Multicraft Chance","15","-2 Silver Dust Spent","15","ATK +9","15","DEF +7","15","+10% Base ATK, DEF and HP","15","","35","80","15","135","","",""
"Imbued Blade","Sword","---","---","100","4","3,150","480","00:08:00","6.56","3,950","8.23","59","295","39","114","","Blacksmith","6","---","","---","","","26","---","---","---","","---","---","---","---","---","---","---","","Precious Gem","---","2","---","---","","","104","26","---","---","---","---","","All","---","---","---","","x1.25 Value Increase","5","-5 Iron Spent","14","-25% Craft Time Reduction","24","-1 Precious Gem Spent","40","Quality Chance x3","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","Quality Chance x2","85","","-8 Iron Spent","15","+10% Multicraft Chance","15","Quality Chance x3","15","ATK +10","15","DEF +8","15","+10% Base ATK, DEF and HP","15","","45","95","20","165","","January 10, 2026",""
"Espada","Sword","---","10","","5","5,900","990","00:16:30","5.96","7,300","7.37","110","550","64","115","","Blacksmith","9","---","","---","","","41","---","---","---","8","---","---","---","---","---","---","---","","Rustwyrm Scale","---","2","Iron Pine Cone","---","3","","144","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","6","-8 Iron Spent","16","Blueprint: Katana","28","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Steel Spent","20","+10% Multicraft Chance","20","-1 Rustwyrm Scale Spent","20","ATK +14","20","DEF +12","20","+10% Base ATK, DEF and HP","20","","60","130","25","260","","",""
"Hero's Sword","Sword","Hero Pack","---","120","5","11,000","1,290","00:21:30","8.53","10,000","7.75","150","750","119","189","","Blacksmith","11","---","","---","","","60","---","---","---","12","---","---","---","---","---","---","---","","Cutlass","Normal","1","Deep Pearl","---","1","","172","43","---","---","---","---","","Light","---","---","---","","-25% Craft Time Reduction","7","-12 Iron Spent","16","x1.25 Value Increase","30","-2 Steel Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-1 Deep Pearl Spent","20","+10% Multicraft Chance","20","-2 Steel Spent","20","ATK +17","20","DEF +14","20","+10% Base ATK, DEF and HP","20","","80","175","35","335","","March 8, 2020",""
"Chocolicious Blade","Sword","Super Sweet Mega Pack","---","120","5","15,500","1,590","00:26:30","9.75","10,000","6.29","150","750","105","163","","Blacksmith","11","---","","---","","","","---","---","54","","---","---","11","---","---","---","---","","Corrupted Element","Normal","1","Living Root","---","4","","172","---","5","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-11 Herbs Spent","16","-1 Corrupted Element Spent","30","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Oils Spent","20","+10% Multicraft Chance","20","-1 Living Root Spent","20","ATK +17","20","HP +5","20","+10% Base ATK, DEF and HP","20","","90","205","40","335","","March 6, 2022",""
