"Name","Type","Worker Level Required","Quantity","Fuse Time (seconds)","Fuse Time (formatted)","Worker XP","","Component","Component Tier","Amount Needed","Component","Amount Needed","Component","Amount Needed","Component","Amount Needed","Component","Amount Needed",""
"Ascension Shard","Special","25","5","14,400","4:00:00","1,898","","Flawless Item","8","1","Research Scroll","25","Greater Moonstone","10","---","---","---","---",""
"Research Scroll","Special","10","10","3,600","1:00:00","264","","Superior Item","4","1","Ascension Shard","5","Superior Moonstone","3","---","---","---","---",""
"Phoenix Feather","Special","12","1","7,200","2:00:00","406","","Stamina Drink","---","10","Repair Kit","5","Superior Moonstone","5","---","---","---","---",""
"Repair Kit","Special","25","1","18,000","5:00:00","1,979","","Golden Chunk","---","10","Greater Moonstone","2","---","---","---","---","---","---",""
"Super Power Booster","Special","10","1","10,800","3:00:00","287","","Superior Item","5","1","Power Booster","3","Superior Moonstone","3","---","---","---","---",""
"Mega Power Booster","Special","23","1","18,000","5:00:00","1,721","","Flawless Item","7","1","Super Power Booster","3","Greater Moonstone","3","---","---","---","---",""
"Super XP Booster","Special","11","1","10,800","3:00:00","533","","Superior Item","5","1","XP Booster","3","Superior Moonstone","3","---","---","---","---",""
"Mega XP Booster","Special","24","1","18,000","5:00:00","2,876","","Flawless Item","7","1","Super XP Booster","3","Greater Moonstone","3","---","---","---","---",""
"Silver Compass","Special","12","1","10,800","3:00:00","390","","Superior Item","5","1","Bronze Compass","3","Superior Moonstone","3","---","---","---","---",""
"Gold Compass","Special","25","1","18,000","5:00:00","1,898","","Flawless Item","7","1","Silver Compass","3","Greater Moonstone","3","---","---","---","---",""
"Super Loot Bugle","Special","13","1","10,800","3:00:00","463","","Superior Item","5","1","Loot Bugle","3","Superior Moonstone","3","---","---","---","---",""
"Mega Loot Bugle","Special","26","1","18,000","5:00:00","2,066","","Flawless Item","7","1","Super Loot Bugle","3","Greater Moonstone","3","---","---","---","---",""
"Mythic XP Drink","Special","23","1","10,800","3:00:00","2,623","","XP Drink","---","5","Super XP Drink","4","Mega XP Drink","3","Superior Moonstone","5","---","---",""
"Basic Skill Die","Special","32","1","36,000","10:00:00","3,377","","Bronze Fang","---","20","Perfect Moonstone","20","---","---","---","---","---","---",""
"Super Skill Die","Special","10","1","10,800","3:00:00","275","","Flawless Item","4","1","Basic Skill Die","2","Lesser Moonstone","5","---","---","---","---",""
"Mega Skill Die","Special","20","1","18,000","5:00:00","1,221","","Flawless Item","7","1","Super Skill Die","2","Superior Moonstone","5","---","---","---","---",""
"Perfect Skill Die","Special","30","1","28,800","8:00:00","2,936","","Flawless Item","10","1","Mega Skill Die","2","Greater Moonstone","5","---","---","---","---",""
"Blossom of Vitality","Special","26","2","21,600","6:00:00","2,154","","Superior Item","6","1","Seed of Vitality","20","Greater Moonstone","5","---","---","---","---",""
"Blossom of Power","Special","26","2","21,600","6:00:00","2,154","","Superior Item","6","1","Seed of Power","20","Greater Moonstone","5","---","---","---","---",""
"Blossom of Resistance","Special","26","2","21,600","6:00:00","2,154","","Superior Item","6","1","Seed of Resistance","20","Greater Moonstone","5","---","---","---","---",""
"Seed of Merit","Special","38","1","50,400","14:00:00","4,901","","Seed of Vitality","---","10","Seed of Power","10","Seed of Resistance","10","Mega XP Drink","3","Supreme Moonstone","15",""
"Champion Titan Soul","Special","37","1","604,800","0:00:00","50,000","","Legendary Item","10","1","Titan Soul","2","Mythic XP Drink","5","Phoenix Feather","10","Perfect Moonstone","300",""
"Flawed Runestone","Stones","16","3","1,800","0:30:00","724","","Chipped Runestone","---","9","Superior Moonstone","1","---","---","---","---","---","---",""
"Chiseled Runestone","Stones","24","3","7,200","2:00:00","1,737","","Flawed Runestone","---","9","Greater Moonstone","1","---","---","---","---","---","---",""
"Perfect Runestone","Stones","32","3","10,800","3:00:00","3,377","","Chiseled Runestone","---","9","Greater Moonstone","2","---","---","---","---","---","---",""
"Supreme Runestone","Stones","37","3","21,600","6:00:00","4,626","","Perfect Runestone","---","9","Perfect Moonstone","2","---","---","---","---","---","---",""
"Superior Moonstone","Stones","17","3","1,800","0:30:00","825","","Lesser Moonstone","---","9","---","","---","---","---","---","---","---",""
"Greater Moonstone","Stones","25","3","7,200","2:00:00","1,898","","Superior Moonstone","---","9","---","","---","---","---","---","---","---",""
