"","FIGHTER CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","","","ROGUE CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","","","SPELLCASTER CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","",""
"","SOLDIER","","Prerequisite","---","HP","30","ELEMENT","","THIEF","","Prerequisite","---","HP","22","ELEMENT","","MAGE","","Prerequisite","---","HP","20","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","10","","","","","Critical Hit Chance","20%","ATK","10","","","","","Critical Hit Chance","5%","ATK","24","",""
"","Gold Hire Cost","FREE","Critical Hit Damage","2x","DEF","15","Earth","","Gold Hire Cost","FREE","Critical Hit Damage","2x","DEF","10","Air","","Gold Hire Cost","FREE","Critical Hit Damage","2x","DEF","10","Fire",""
"","Gem Hire Cost","FREE","Threat Rating","90","EVA","0%","","","Gem Hire Cost","FREE","Threat Rating","40","EVA","30%","","","Gem Hire Cost","FREE","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Heavy Armor","Gauntlets","Heavy Footwear","Potion","Shield","Lv. 4","","Dagger","Light Armor","Rogue Hat","Gloves","Amulet","Ring","Lv. 5","","Staff","Clothes","Magician Hat","Light Footwear","Spell","Ring","Lv. 5",""
"","Mace","---","---","---","Meal","---","Lv. 9","","Bow","---","Mask","---","Cloak","---","Lv. 10","","Crossbow","---","Mask","---","---","Cloak","Lv. 10",""
"","Dagger","---","---","---","---","---","---","","Crossbow","---","---","---","Quiver","---","---","","Wand","---","---","---","---","Quiver","---",""
"","Scythe","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Instrument","---","---","---","---","Idol","---",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Catalyst","---","---","---","---","---","---",""
"","MERCENARY
(Soldier Class Promotion)","","Prerequisite","Titan Soul","HP","60","ELEMENT","","TRICKSTER
(Thief Class Promotion)","","Prerequisite","Titan Soul","HP","45","ELEMENT","","ARCHMAGE
(Mage Class Promotion)","","Prerequisite","Titan Soul","HP","40","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","30","","","","","Critical Hit Chance","20%","ATK","30","","","","","Critical Hit Chance","5%","ATK","60","",""
"","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","45","Earth","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","30","Air","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","30","Fire",""
"","Gem Hire Cost","---","Threat Rating","90","EVA","0%","","","Gem Hire Cost","---","Threat Rating","40","EVA","30%","","","Gem Hire Cost","---","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Heavy Armor","Gauntlets","Heavy Footwear","Potion","Shield","Lv. 4","","Dagger","Light Armor","Rogue Hat","Gloves","Amulet","Ring","Lv. 5","","Staff","Clothes","Magician Hat","Light Footwear","Spell","Ring","Lv. 5",""
"","Mace","---","---","---","Meal","---","Lv. 9","","Bow","---","Mask","Light Footwear","Cloak","---","Lv. 10","","Crossbow","---","Mask","---","---","Cloak","Lv. 10",""
"","Dagger","---","---","---","---","---","Lv. 19","","Crossbow","---","---","---","Quiver","---","Lv. 23","","Wand","---","---","---","---","Quiver","Lv. 23",""
"","Spear","---","---","---","---","---","Lv. 29","","Instrument","---","---","---","---","---","Lv. 35","","Instrument","---","---","---","---","Idol","Lv. 35",""
"","Scythe","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Catalyst","---","---","---","---","---","---",""
"","BARBARIAN","","Prerequisite","Merchant Lv. 10","HP","35","ELEMENT","","MONK","","Prerequisite","Merchant Lv. 10","HP","23","ELEMENT","","CLERIC","","Prerequisite","Merchant Lv. 10","HP","20","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","12","","","","","Critical Hit Chance","20%","ATK","10","","","","","Critical Hit Chance","5%","ATK","25","",""
"","Gold Hire Cost","10,000","Critical Hit Damage","2x","DEF","10","Fire","","Gold Hire Cost","10,000","Critical Hit Damage","2x","DEF","10","Water","","Gold Hire Cost","10,000","Critical Hit Damage","2x","DEF","10","Light",""
"","Gem Hire Cost","50","Threat Rating","90","EVA","0%","","","Gem Hire Cost","50","Threat Rating","40","EVA","30%","","","Gem Hire Cost","50","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Helmet","Gauntlets","Heavy Footwear","Potion","Herbal Medicine","Lv. 5","","Clothes","Amulet","Amulet","Amulet","Ring","Ring","Lv. 5","","Mace","Clothes","Magician Hat","Light Footwear","Spell","Shield","Lv. 5",""
"","Axe","Mask","---","---","Dessert","Meal","Lv. 10","","---","Cloak","Dessert","Idol","---","---","Lv. 10","","Spear","---","Mask","---","---","Cloak","Lv. 10",""
"","Spear","---","---","---","Idol","Cloak","---","","---","---","---","---","---","---","---","","Wand","---","---","---","---","Idol","---",""
"","Mace","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Scythe","---","---","---","---","---","---",""
"","Scythe","---","---","---","---","---","---","","---","---","---","---","---","---","---","","---","---","---","---","---","---","---",""
"","CHIEFTAIN
(Barbarian Class Promotion)","","Prerequisite","Titan Soul","HP","70","ELEMENT","","GRANDMASTER
(Monk Class Promotion)","","Prerequisite","Titan Soul","HP","45","ELEMENT","","BISHOP
(Cleric Class Promotion)","","Prerequisite","Titan Soul","HP","40","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","35","","","","","Critical Hit Chance","20%","ATK","30","","","","","Critical Hit Chance","5%","ATK","75","",""
"","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","30","Fire","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","30","Water","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","30","Light",""
"","Gem Hire Cost","---","Threat Rating","90","EVA","0%","","","Gem Hire Cost","---","Threat Rating","40","EVA","30%","","","Gem Hire Cost","---","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Helmet","Gauntlets","Heavy Footwear","Potion","Herbal Medicine","Lv. 5","","Clothes","Amulet","Amulet","Amulet","Ring","Ring","Lv. 5","","Mace","Clothes","Magician Hat","Light Footwear","Spell","Shield","Lv. 5",""
"","Axe","Mask","---","---","Dessert","Meal","Lv. 10","","---","Cloak","Dessert","Idol","---","---","Lv. 10","","Spear","---","Mask","---","---","Ring","Lv. 10",""
"","Spear","---","---","---","Idol","Shield","Lv. 23","","---","---","---","---","---","---","Lv. 23","","Wand","---","---","---","---","Cloak","Lv. 23",""
"","Mace","---","---","---","---","Cloak","Lv. 35","","---","---","---","---","---","---","Lv. 35","","Scythe","---","---","---","---","Idol","Lv. 35",""
"","Scythe","---","---","---","---","---","---","","---","---","---","---","---","---","---","","---","---","---","---","---","---","---",""
"","KNIGHT","","Prerequisite","Merchant Lv. 22","HP","42","ELEMENT","","MUSKETEER","","Prerequisite","Merchant Lv. 22","HP","23","ELEMENT","","DRUID","","Prerequisite","Merchant Lv. 22","HP","20","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","10","","","","","Critical Hit Chance","20%","ATK","15","","","","","Critical Hit Chance","5%","ATK","30","",""
"","Gold Hire Cost","50,000","Critical Hit Damage","2x","DEF","25","Light","","Gold Hire Cost","50,000","Critical Hit Damage","2x","DEF","12","Fire","","Gold Hire Cost","50,000","Critical Hit Damage","2x","DEF","12","Earth",""
"","Gem Hire Cost","150","Threat Rating","90","EVA","0%","","","Gem Hire Cost","150","Threat Rating","40","EVA","30%","","","Gem Hire Cost","150","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Spear","Heavy Armor","Gauntlets","Helmet","Heavy Footwear","Shield","Lv. 5","","Crossbow","Light Armor","Gloves","Heavy Footwear","Potion","Amulet","Lv. 5","","Staff","Clothes","Herbal Medicine","Herbal Medicine","Amulet","Spell","Lv. 5",""
"","Axe","---","---","---","---","---","Lv. 10","","Sword","---","---","---","Meal","Quiver","Lv. 10","","Bow","---","Meal","Meal","Idol","Quiver","Lv. 10",""
"","---","---","---","---","---","---","Lv. 23","","Gun","---","---","---","---","---","Lv. 23","","Wand","---","---","---","---","---","Lv. 23",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Instrument","---","---","---","---","---","---",""
