"Name","Type","Tier","Value","Quest Area",""
"Elven Wood","---","1","100","Howling Woods",""
"Iron Pine Cone","---","1","110","Howling Woods",""
"Glow Shroom","---","1","120","Howling Woods",""
"Silver Dust","---","2","400","Aurora Caves",""
"Webbed Wing","---","2","450","Aurora Caves",""
"Precious Gem","---","2","500","Aurora Caves",""
"Living Root","---","3","900","Whispering Bog",""
"Rustwyrm Scale","---","3","1,000","Whispering Bog",""
"Deep Pearl","---","3","1,150","Whispering Bog",""
"White Sand","---","4","2,000","Barren Wastes",""
"Bronze Fang","---","4","2,250","Barren Wastes",""
"Moon Crystal","---","4","2,500","Barren Wastes",""
"Evil Eye","---","5","5,000","Sun God's Tomb",""
"Silk Scarab","---","5","5,500","Sun God's Tomb",""
"Star Metal","---","5","6,000","Sun God's Tomb",""
"Ancient Marble","---","6","8,000","Chronos Ruins",""
"Overgrown Vine","---","6","9,000","Chronos Ruins",""
"Chronos Crystal","---","6","10,000","Chronos Ruins",""
"Spooky Ectoplasm","---","7","12,500","Haunted Castle",""
"Thread of Fate","---","7","15,000","Haunted Castle",""
"Ghastly Pennant","---","7","17,500","Haunted Castle",""
"Deep Coral","---","8","20,000","Sunken Temple",""
"Crystal Lullaby","---","8","22,000","Sunken Temple",""
"Precious Shell","---","8","30,000","Sunken Temple",""
"Grim Talon","---","9","45,000","Bleakspire Peak",""
"Zirconia Eggshell","---","9","50,000","Bleakspire Peak",""
"Boreal Gale","---","9","60,000","Bleakspire Peak",""
"Crush Claw","---","10","80,000","Cinderlake Volcano",""
"Raw Obsidian","---","10","90,000","Cinderlake Volcano",""
"Magma Core","---","10","100,000","Cinderlake Volcano",""
"Outsider's Claw","---","11","250,000","Void Dimension",""
"All-Seeing Eye","---","11","275,000","Void Dimension",""
"Astral Fabric","---","11","290,000","Void Dimension",""
"Demigod Pinion","---","12","375,000","Elysium",""
"Heaven's Crest","---","12","400,000","Elysium",""
"Divine Spark","---","12","450,000","Elysium",""
"Mysterious Fossil","---","13","700,000","Ancient Jungle",""
"Dinosaur Leather","---","13","750,000","Ancient Jungle",""
"Ancient Amber","---","13","800,000","Ancient Jungle",""
"Elder Wood","Timewarped","13","900,000","Ancient Jungle",""
"Man-goroots","Timewarped","13","910,000","Ancient Jungle",""
"Full Moon Crystal","Timewarped","13","920,000","Ancient Jungle",""
"Star Metal Ingot","Timewarped","13","930,000","Ancient Jungle",""
"Kingtoplasm","Timewarped","13","940,000","Ancient Jungle",""
"Marble Pillar","Timewarped","13","950,000","Ancient Jungle",""
"Xzyur Claw","---","16","1,200,000","Meteor Zone",""
"Xzyur Eye","---","16","1,250,000","Meteor Zone",""
"Alien Bulb","---","16","1,300,000","Meteor Zone",""
"Wing Nexus","Timewarped","16","1,500,000","Meteor Zone",""
"Paramount Gem","Timewarped","16","1,550,000","Meteor Zone",""
"Hybridized Vine","Timewarped","16","1,550,000","Meteor Zone",""
"Rusted Pickaxe","Artifact","8","35,500","Chronos Ruins, Haunted Castle, Sunken Temple",""
"Deterioriated Book","Artifact","8","36,500","Chronos Ruins, Haunted Castle, Sunken Temple",""
"Faded Cowl","Artifact","9","42,000","Chronos Ruins, Haunted Castle, Sunken Temple",""
"Tattered Binder","Artifact","10","45,000","Chronos Ruins, Haunted Castle, Sunken Temple",""
"Broken Torc","Artifact","11","625,000","Elysium, Meteor Zone",""
"Rusted Katana","Artifact","14","615,000","Elysium, Meteor Zone",""
"Rusted Tassets","Artifact","14","600,000","Elysium, Meteor Zone",""
"Chunk of Boots","Artifact","14","650,000","Elysium, Meteor Zone",""
"Ruined Mace","Artifact","14","650,000","Elysium, Meteor Zone",""
"Rusted Cannon","Artifact","14","700,000","Elysium, Meteor Zone",""
"Spent Knowledge","Artifact","14","700,000","Meteor Zone",""
"Golden Chunk","---","7","20,000","Lost City of Gold",""
"Opulent Jewel","---","8","80,000","Lost City of Gold",""
"Platinum Bangles","---","12","500,000","Lost City of Gold",""
"Precious Pearl","---","16","1,000,000","Lost City of Gold",""
