"","IRON BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","5,000 / 15,000 / 30,000 / 50,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","STEEL BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","50,000 / 150,000 / 300,000 / 500,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","JEWEL BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","2,000,000 / 3,000,000 / 50,000,000 / 100,000,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","ESSENCE BEACON ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","250,000,000 / 500,000,000 / 750,000,000 / 1,000,000,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","DRAGON'S HOARD BIN ","Bin Level","Size","Storage Cap","Cap Increase","Gold Cost","Gem Cost","Dragonmarks","Upgrade Time","Required Building","","STARDUST BIN ","Bin Level","Size","Storage Cap","Cap Increase","Gold Cost","Gem Cost","Dragonmarks","Upgrade Time","Required Building",""
"","STAGE 1","1","2x2","35","","---","100","","---","---","---","","STAGE 1","1","2x2","15","","---","20,000","","---","---","---","","STAGE 1","1","2x2","8","","---","500,000","","---","---","---","","STAGE 1","1","2x2","5","","---","1,500,000","","---","---","---","","STAGE 1","1","4x4","10","---","500","","","---","---","","STAGE 1","1","3x3","50","","2,000,000","","---","---","---",""
"","","2","2x2","41","6","---","500","20","---","5 mins","---","","","2","2x2","18","3","---","50,000","30","---","3 hours","---","","","2","2x2","10","2","---","750,000","150","---","4 hours, 30 mins","---","","","2","2x2","6","1","---","2,250,000","200","---","9 hours","---","","","2","4x4","12","2","1,000","30","10","10 mins","---","","","2","3x3","52","2","3,000,000","600","---","15 hours, 45 mins","---",""
"","","3","2x2","47","6","---","2,500","25","---","1 hour","Iron Mine Lv. 2","","","3","2x2","21","3","---","150,000","50","---","3 hours, 30 mins","Smelter Lv. 2","","","3","2x2","12","2","---","1,000,000","200","---","5 hours, 15 mins","Jewel Storehouse Lv. 2","","","3","2x2","7","1","---","3,000,000","250","---","10 hours, 30 mins","Mausoleum Lv. 2","","","3","4x4","14","2","20,000","50","20","2 hours","---","","","3","3x3","54","2","4,000,000","800","---","18 hours, 23 mins","---",""
"","","4","2x2","53","6","---","12,500","30","---","3 hours","Iron Mine Lv. 3","","","4","2x2","24","3","---","250,000","125","---","5 hours","Smelter Lv. 3","","","4","2x2","14","2","---","1,500,000","250","---","7 hours, 30 mins","Jewel Storehouse Lv. 3","","","4","2x2","8","1","---","4,500,000","300","---","15 hours","Mausoleum Lv. 3","","","4","4x4","16","2","100,000","100","30","6 hours","---","","","4","3x3","56","2","6,000,000","1,000","---","1 day, 2 hours, 15 mins","---",""
"","","5","2x2","59","6","---","50,000","40","---","3 hours","Iron Mine Lv. 4","","","5","2x2","27","3","---","350,000","150","---","7 hours","Smelter Lv. 4","","","5","2x2","16","2","---","2,500,000","300","---","10 hours, 30 mins","Jewel Storehouse Lv. 4","","","5","2x2","9","1","---","7,500,000","350","---","21 hours","Mausoleum Lv. 4","","","5","4x4","18","2","250,000","150","50","6 hours","---","","","5","3x3","58","2","10,000,000","1,200","---","1 day, 12 hours, 45 mins","---",""
"","STAGE 2","6","2x3","65","6","---","100,000","50","---","4 hours, 30 mins","Iron Mine Lv. 6","","STAGE 2","6","2x3","30","3","---","500,000","175","---","10 hours","Smelter Lv. 6","","STAGE 2","6","2x3","18","2","---","4,000,000","350","---","15 hours","Jewel Storehouse Lv. 6","","STAGE 2","6","3x3","10","1","---","12,000,000","400","---","1 day, 6 hours","Mausoleum Lv. 6","","STAGE 2","6","4x4","20 / 10","2","1,000,000","200","75","9 hours","---","","STAGE 2","6","3x3","60","2","16,000,000","1,400","---","2 days, 4 hours, 30 mins","---",""
"","","7","2x3","77","12","---","250,000","75","---","8 hours","Iron Mine Lv. 7","","","7","2x3","36","6","---","750,000","200","---","13 hours","Smelter Lv. 7","","","7","2x3","21","3","---","5,000,000","400","---","19 hours, 30 mins","Jewel Storehouse Lv. 7","","","7","3x3","12","2","---","15,000,000","450","---","1 day, 15 hours","Mausoleum Lv. 7","","","7","4x4","24 / 12","4 / 2","1,500,000","250","100","16 hours","---","","","7","3x3","66","6","20,000,000","1,600","---","2 days, 20 hours, 15 mins","---",""
"","","8","2x3","89","12","---","500,000","100","---","11 hours, 30 mins","Iron Mine Lv. 9","","","8","2x3","42","6","---","1,500,000","250","---","22 hours","Smelter Lv. 9","","","8","2x3","24","3","---","7,500,000","450","---","1 day, 9 hours","Jewel Storehouse Lv. 9","","","8","3x3","14","2","---","22,500,000","500","---","2 days, 18 hours","Mausoleum Lv. 9","","","8","4x4","28 / 14","4 / 2","3,000,000","300","125","23 hours","---","","","8","3x3","72","6","30,000,000","1,800","---","4 days, 19 hours, 30 mins","---",""
"","","9","2x3","101","12","---","1,000,000","125","---","16 hours","Iron Mine Lv. 10","","","9","2x3","48","6","---","3,000,000","300","---","1 day, 1 hour","Smelter Lv. 10","","","9","2x3","27","3","---","15,000,000","500","---","1 day, 13 hours, 30 mins","Jewel Storehouse Lv. 10","","","9","3x3","16","2","---","45,000,000","550","---","3 days, 3 hours","Mausoleum Lv. 10","","","9","4x4","32 / 16","4 / 2","6,000,000","400","150","1 day, 8 hours","---","","","9","3x3","78","6","60,000,000","2,000","---","5 days, 11 hours, 15 mins","---",""
"","","10","2x3","113","12","---","2,500,000","150","---","1 day, 4 hours","Iron Mine Lv. 11","","","10","2x3","54","6","---","9,000,000","350","---","2 days, 8 hours","Smelter Lv. 11","","","10","2x3","30","3","---","30,000,000","550","---","3 days, 12 hours","Jewel Storehouse Lv. 11","","","10","3x3","18","2","---","90,000,000","600","---","7 days","Mausoleum Lv. 11","","","10","4x4","36 / 18","4 / 2","18,000,000","500","175","2 days, 8 hours","---","","","10","3x3","84","6","120,000,000","2,200","---","12 days, 6 hours","---",""
